clie_id,clie_name,clie_nascimento,clie_sexo,clie_email,clie_telefone,clie_cidade,clie_estado,clie_endereco,clie_ativo
80,Remy Robbel,1915/04/07,F,rrobbel27@amazonaws.com,+1 (719) 631-4273,Colorado Springs,Colorado,609 Colorado Way,true
81,Lindy Deeprose,1918/10/28,M,ldeeprose28@parallels.com,+1 (408) 365-7463,San Jose,California,237 Sommers Trail,true
82,Malvin Walburn,2007/03/21,M,mwalburn29@ning.com,+1 (505) 638-5176,Albuquerque,New Mexico,82987 Heffernan Pass,false
83,Stafani Welbelove,1902/09/15,F,swelbelove2a@tiny.cc,+1 (717) 399-7637,Lancaster,Pennsylvania,6 Shasta Junction,true
84,Forrest Sara,1976/03/24,M,fsara2b@fastcompany.com,+1 (716) 145-7130,Buffalo,New York,7 Schmedeman Place,false
85,Mortie Vile,1996/04/06,M,mvile2c@toplist.cz,+1 (517) 213-4729,Lansing,Michigan,1869 Maywood Avenue,true
86,Brooke Kineton,1920/01/10,M,bkineton2d@pinterest.com,+1 (303) 176-3989,Englewood,Colorado,305 Algoma Way,true
87,Torry Hymans,1945/09/18,M,thymans2e@earthlink.net,+1 (323) 128-4563,Los Angeles,California,74003 Pond Place,false
88,Ilysa Mole,1992/07/09,F,imole2f@smh.com.au,+1 (510) 779-0426,Oakland,California,94 Del Sol Way,false
89,Tracie Sissot,1901/11/17,M,tsissot2g@statcounter.com,+1 (205) 171-7465,Birmingham,Alabama,51421 Cottonwood Plaza,false
90,Abbi Berthelmot,1902/10/22,F,aberthelmot2h@t-online.de,+1 (626) 655-5898,Pasadena,California,7 Hooker Alley,false
91,Gus Maty,1997/12/18,M,gmaty2i@unicef.org,+1 (234) 731-7155,Akron,Ohio,8694 Center Lane,false
92,Kellina Cardenosa,1954/06/25,F,kcardenosa2j@state.gov,+1 (402) 194-6937,Omaha,Nebraska,188 Di Loreto Pass,true
93,Janos Rothchild,1905/03/21,M,jrothchild2k@cbslocal.com,+1 (512) 974-5647,Austin,Texas,5 Doe Crossing Alley,true
94,Boone Russon,1914/12/06,M,brusson2l@apache.org,+1 (203) 870-4972,Waterbury,Connecticut,3 Sunfield Junction,true
95,Devland Brevetor,1974/10/06,M,dbrevetor2m@gmpg.org,+1 (661) 755-0599,Lancaster,California,354 6th Center,false
96,Freemon Jephcott,1985/12/19,M,fjephcott2n@usgs.gov,+1 (910) 912-6606,Fayetteville,North Carolina,6 Merrick Plaza,true
97,Allissa Tampen,1981/05/15,F,atampen2o@dion.ne.jp,+1 (816) 448-2059,Lees Summit,Missouri,5750 Old Gate Lane,true
98,Geoffrey Peasnone,1987/03/18,M,gpeasnone2p@myspace.com,+1 (814) 586-3892,Johnstown,Pennsylvania,6674 Evergreen Pass,false
99,Adele Levinge,1971/11/06,F,alevinge2q@123-reg.co.uk,+1 (682) 339-9952,Fort Worth,Texas,298 Farragut Circle,false
100,Ware Sparsholt,1904/04/06,M,wsparsholt2r@wp.com,+1 (915) 935-8224,El Paso,Texas,2104 Colorado Lane,false
101,Gabriello Gerlack,2006/09/02,M,ggerlack2s@webmd.com,+1 (619) 197-8871,San Diego,California,428 Westridge Street,false
102,Anthea Dessent,1930/08/08,F,adessent2t@mapy.cz,+1 (302) 100-4475,Wilmington,Delaware,429 Ramsey Plaza,true
103,Peadar Rannald,2008/06/03,M,prannald2u@google.ru,+1 (209) 691-4593,Stockton,California,082 Blue Bill Park Place,false
104,Rollin Halliberton,1941/11/02,M,rhalliberton2v@prnewswire.com,+1 (541) 786-1485,Eugene,Oregon,2869 Lyons Trail,true
105,Rycca Abrahmovici,1956/01/10,F,rabrahmovici2w@diigo.com,+1 (404) 497-5868,Atlanta,Georgia,3 Dawn Point,false
106,Debbie Toomey,2014/10/02,F,dtoomey2x@yellowpages.com,+1 (682) 539-9884,Fort Worth,Texas,7 Vera Court,true
107,Aharon McCurrie,1996/12/19,M,amccurrie2y@plala.or.jp,+1 (253) 661-1225,Tacoma,Washington,67 Kipling Court,true
108,Cairistiona Cumberpatch,1931/12/07,F,ccumberpatch2z@telegraph.co.uk,+1 (203) 847-4472,Waterbury,Connecticut,92601 8th Trail,false
109,Herbie Chidlow,1908/07/27,M,hchidlow30@gmpg.org,+1 (253) 892-7971,Tacoma,Washington,7 Canary Junction,true
110,Tessi Bartoszewicz,1984/07/09,F,tbartoszewicz31@wunderground.com,+1 (571) 857-4662,Arlington,Virginia,09826 Warrior Way,true
111,Brina Morando,2009/02/18,F,bmorando32@godaddy.com,+1 (319) 153-0157,Iowa City,Iowa,52 Lakeland Avenue,true
112,Roda Ellerker,1967/05/20,F,rellerker33@tripadvisor.com,+1 (408) 579-1680,San Jose,California,1 Union Point,true
113,Marcos Staines,1945/09/21,M,mstaines34@google.nl,+1 (717) 913-5614,Harrisburg,Pennsylvania,1 Ryan Trail,true
114,Raffarty Greenrod,1929/04/23,M,rgreenrod35@istockphoto.com,+1 (312) 421-0791,Chicago,Illinois,0 Schlimgen Plaza,true
115,Morton Truse,1979/11/11,M,mtruse36@behance.net,+1 (479) 158-9980,Fort Smith,Arkansas,94 Homewood Alley,true
116,Sianna Dench,1906/04/22,F,sdench37@dion.ne.jp,+1 (504) 607-4289,New Orleans,Louisiana,54371 Holy Cross Terrace,true
117,Anatole Scryne,2000/10/30,M,ascryne38@mozilla.org,+1 (408) 515-6610,San Jose,California,98 Macpherson Crossing,false
118,Florry Edmons,2013/02/19,F,fedmons39@cbc.ca,+1 (706) 697-1251,Columbus,Georgia,53725 Duke Circle,true
119,Bellanca Hempel,1922/11/23,F,bhempel3a@123-reg.co.uk,+1 (331) 801-9886,Aurora,Illinois,22 Declaration Pass,true
120,Carie Caseri,1919/03/09,F,ccaseri3b@ocn.ne.jp,+1 (610) 225-1244,Philadelphia,Pennsylvania,34 Caliangt Circle,false
121,Cherish Ponting,1936/02/10,F,cponting3c@trellian.com,+1 (405) 587-4352,Oklahoma City,Oklahoma,50 Glacier Hill Pass,true
122,Gloriana Cambell,1933/11/23,F,gcambell3d@jalbum.net,+1 (228) 921-7497,Biloxi,Mississippi,04706 Orin Park,false
123,Ronalda Ovens,1965/04/17,F,rovens3e@addtoany.com,+1 (505) 935-0720,Las Cruces,New Mexico,517 Melrose Drive,true
124,Kristin Brogioni,1977/04/13,F,kbrogioni3f@soup.io,+1 (706) 524-4463,Augusta,Georgia,2192 Magdeline Street,true
125,Humphrey Orans,1938/08/10,M,horans3g@nih.gov,+1 (559) 983-6227,Fresno,California,3841 Graedel Lane,false
126,Jarvis Turpey,1932/01/13,M,jturpey3h@feedburner.com,+1 (559) 945-9890,Fresno,California,3659 Vermont Point,false
127,Trula Mariotte,1924/02/23,F,tmariotte3i@goo.ne.jp,+1 (952) 475-0939,Minneapolis,Minnesota,0 Harper Park,true
128,Cammy McLurg,2014/08/08,M,cmclurg3j@pbs.org,+1 (413) 811-4157,Springfield,Massachusetts,00920 South Plaza,false
129,Aggy Zanazzi,2015/08/05,F,azanazzi3k@state.gov,+1 (713) 398-3367,Houston,Texas,565 Arapahoe Drive,true
130,Rois Neeves,1933/04/14,F,rneeves3l@wikimedia.org,+1 (573) 750-2303,Jefferson City,Missouri,463 Lawn Parkway,true
131,Jessica Karchowski,1901/07/10,F,jkarchowski3m@virginia.edu,+1 (520) 734-7834,Tucson,Arizona,70186 Vahlen Alley,true
132,Stevena Brahmer,1981/10/24,F,sbrahmer3n@desdev.cn,+1 (812) 232-9340,Evansville,Indiana,738 Porter Hill,true
133,Helge Oguz,1967/08/10,F,hoguz3o@facebook.com,+1 (518) 849-4021,Albany,New York,4790 Lighthouse Bay Court,true
134,Gardiner Beenham,1987/04/12,M,gbeenham3p@mlb.com,+1 (304) 377-0313,Huntington,West Virginia,64042 Mcbride Hill,true
135,Kermit Ibell,1941/08/19,M,kibell3q@thetimes.co.uk,+1 (602) 891-9545,Mesa,Arizona,7165 Onsgard Road,true
136,Letta Fitzpayn,1990/11/03,F,lfitzpayn3r@psu.edu,+1 (435) 424-9334,Salt Lake City,Utah,4789 Buena Vista Park,true
137,Hollis Helliker,1950/06/04,M,hhelliker3s@rediff.com,+1 (502) 543-4295,Louisville,Kentucky,22883 Portage Way,true
138,Merla Kinglesyd,2001/09/16,F,mkinglesyd3t@live.com,+1 (612) 386-5918,Minneapolis,Minnesota,2 Comanche Avenue,true
139,Lil Dmitrichenko,1993/01/05,F,ldmitrichenko3u@japanpost.jp,+1 (915) 108-5095,El Paso,Texas,98206 Norway Maple Circle,false
140,Ginni Rollo,1999/06/15,F,grollo3v@samsung.com,+1 (928) 830-8312,Phoenix,Arizona,7456 Sommers Park,true
141,Truda Chansonnau,2005/02/06,F,tchansonnau3w@moonfruit.com,+1 (915) 250-5570,El Paso,Texas,964 Pennsylvania Junction,true
142,Lyndsie Aldins,1972/09/19,F,laldins3x@tmall.com,+1 (419) 551-8296,Toledo,Ohio,165 Tennyson Point,false
143,Odilia Bardsley,2010/07/20,F,obardsley3y@google.nl,+1 (623) 832-1746,Scottsdale,Arizona,938 Anhalt Place,false
144,Angus Frier,1988/08/02,M,afrier3z@usatoday.com,+1 (520) 717-8883,Tucson,Arizona,0 Bartillon Avenue,false
145,Zilvia Holliar,1985/05/16,F,zholliar40@cargocollective.com,+1 (330) 592-4645,Youngstown,Ohio,3 Boyd Plaza,false
146,Shani Melbourne,1964/02/11,F,smelbourne41@mapquest.com,+1 (304) 290-3891,Charleston,West Virginia,4596 East Lane,true
147,Jan Critchley,1962/08/06,F,jcritchley42@mit.edu,+1 (678) 215-1042,Marietta,Georgia,4 Lindbergh Lane,true
148,Sybila Hurche,1906/03/01,F,shurche43@ox.ac.uk,+1 (202) 801-2618,Washington,District of Columbia,8278 Lakewood Crossing,false
149,Halsey Sweetlove,1987/05/02,M,hsweetlove44@tiny.cc,+1 (402) 236-5960,Lincoln,Nebraska,0 Milwaukee Hill,false
150,Meredith Daud,1997/06/20,F,mdaud45@twitter.com,+1 (505) 214-5249,Albuquerque,New Mexico,0317 La Follette Drive,false
151,Sheela Stanmer,1922/09/04,F,sstanmer46@about.me,+1 (209) 858-1668,Modesto,California,61 Kedzie Lane,true
152,Pierce McGriffin,2012/07/05,M,pmcgriffin47@ovh.net,+1 (478) 511-3383,Macon,Georgia,7580 Elka Circle,true
153,Delmar Bummfrey,1914/03/06,M,dbummfrey48@geocities.com,+1 (623) 879-4666,Glendale,Arizona,77 Jana Crossing,false
154,Loraine Annear,2008/04/08,F,lannear49@hexun.com,+1 (210) 590-4883,San Antonio,Texas,477 Linden Road,true
155,Tobe Burtonshaw,1933/04/28,M,tburtonshaw4a@flavors.me,+1 (512) 373-8224,Austin,Texas,71549 Sheridan Center,false
156,Parnell Haugh,1964/09/25,M,phaugh4b@unesco.org,+1 (205) 177-4985,Birmingham,Alabama,15609 Erie Circle,true
157,Adrienne Coundley,1958/05/22,F,acoundley4c@mapquest.com,+1 (909) 829-5442,San Bernardino,California,1 Esch Hill,true
158,Alric Inkster,2011/09/13,M,ainkster4d@last.fm,+1 (937) 577-4299,Dayton,Ohio,8161 Victoria Avenue,false
159,Stacia Pashby,1929/03/27,F,spashby4e@unc.edu,+1 (913) 480-1282,Shawnee Mission,Kansas,2 Chinook Crossing,true
160,Sarina Vigars,1951/04/13,F,svigars4f@qq.com,+1 (315) 985-9396,Syracuse,New York,63 Sundown Plaza,true
161,Doralynn Dugald,1981/05/09,F,ddugald4g@fema.gov,+1 (817) 708-2498,Arlington,Texas,537 Stang Crossing,false
162,Kandace Wadham,1914/11/14,F,kwadham4h@baidu.com,+1 (971) 235-1974,Portland,Oregon,794 Charing Cross Terrace,false
163,Emmey Guerreau,2009/08/13,F,eguerreau4i@ucsd.edu,+1 (443) 936-0311,Baltimore,Maryland,23699 Haas Lane,true
164,Alphonse Haily,1921/01/28,M,ahaily4j@google.com.br,+1 (404) 876-7167,Atlanta,Georgia,55243 Dorton Junction,true
165,Kizzie Arundel,1933/10/18,F,karundel4k@howstuffworks.com,+1 (920) 694-8426,Green Bay,Wisconsin,7914 Loftsgordon Crossing,false
166,Nicholle Emmot,1947/05/21,F,nemmot4l@google.com,+1 (772) 692-2091,Port Saint Lucie,Florida,0 Summerview Drive,false
167,Pippa Dawidowitz,1953/06/25,F,pdawidowitz4m@meetup.com,+1 (904) 910-1040,Jacksonville,Florida,89240 Gale Drive,false
168,Bessy De Coursey,2000/07/14,F,bde4n@skype.com,+1 (212) 639-3789,New York City,New York,095 Northview Point,true
169,Clarey Quadling,1924/06/21,F,cquadling4o@netlog.com,+1 (704) 710-3726,Charlotte,North Carolina,6137 Manley Hill,false
170,Roberta Filon,1963/04/25,F,rfilon4p@tuttocitta.it,+1 (303) 239-8921,Denver,Colorado,174 Pepper Wood Lane,false
171,Meg Skeats,1972/05/02,F,mskeats4q@themeforest.net,+1 (202) 236-8416,Washington,District of Columbia,6 Crest Line Park,true
172,Kore Fishpool,1927/10/31,F,kfishpool4r@w3.org,+1 (402) 281-7720,Omaha,Nebraska,6 Service Alley,false
173,Claire Cherrington,1904/08/10,F,ccherrington4s@icq.com,+1 (336) 708-3490,Winston Salem,North Carolina,029 5th Terrace,false
174,Rosy Arnopp,1955/08/10,F,rarnopp4t@google.ru,+1 (786) 580-9938,Miami,Florida,534 Linden Plaza,true
175,Lanny Besson,1913/06/25,F,lbesson4u@oakley.com,+1 (915) 364-6418,El Paso,Texas,18934 Green Ridge Center,false
176,Britt Chipchase,1917/02/11,F,bchipchase4v@drupal.org,+1 (509) 193-3955,Spokane,Washington,85 Derek Circle,true
177,Brendan Martell,1934/09/26,M,bmartell4w@usa.gov,+1 (214) 339-1786,Dallas,Texas,51781 3rd Street,false
178,Elfie MacAne,2012/09/13,F,emacane4x@mayoclinic.com,+1 (702) 713-5437,Henderson,Nevada,9 Hazelcrest Lane,false
179,Monty Frape,1906/03/08,M,mfrape4y@ed.gov,+1 (309) 720-1611,Peoria,Illinois,87 Rockefeller Drive,false
180,Dallon Lucia,1924/07/19,M,dlucia4z@gmpg.org,+1 (361) 973-4350,Corpus Christi,Texas,66847 Hazelcrest Hill,false
181,Debora Sowle,1974/01/19,F,dsowle50@squidoo.com,+1 (765) 134-1171,Anderson,Indiana,8 Prairie Rose Crossing,false
182,Reggy Brafferton,1912/06/30,M,rbrafferton51@themeforest.net,+1 (212) 642-3980,Jamaica,New York,272 Randy Drive,true
183,Jacques Gitting,2015/10/15,M,jgitting52@oracle.com,+1 (915) 606-4642,El Paso,Texas,821 Summer Ridge Junction,true
184,Lynette Blanket,2000/04/20,F,lblanket53@dyndns.org,+1 (214) 206-6342,Dallas,Texas,842 Monterey Court,true
185,Arlinda Senton,1915/03/24,F,asenton54@about.me,+1 (510) 821-3642,San Francisco,California,33 Prentice Plaza,true
186,Alayne Foan,1966/03/26,F,afoan55@aol.com,+1 (213) 328-9557,Los Angeles,California,2 Banding Plaza,false
187,Adria Orth,1993/10/12,F,aorth56@smugmug.com,+1 (716) 606-3084,Buffalo,New York,89 Grover Circle,true
188,Oralle Chesman,2005/12/25,F,ochesman57@pbs.org,+1 (208) 778-7118,Boise,Idaho,3 Dapin Way,false
189,Freeman Rolls,1964/10/10,M,frolls58@illinois.edu,+1 (713) 958-1218,Houston,Texas,49 Luster Junction,true
190,Alvin Tomkies,1964/11/30,M,atomkies59@twitter.com,+1 (561) 624-4172,Lake Worth,Florida,4444 Sommers Parkway,false
191,Alanah Newcombe,1916/09/15,F,anewcombe5a@ted.com,+1 (518) 690-7172,Albany,New York,2650 Declaration Street,true
192,Jone Aulton,1961/11/09,M,jaulton5b@cisco.com,+1 (801) 307-2056,Salt Lake City,Utah,6715 Pleasure Trail,false
193,Joyce Boyle,1981/12/06,F,jboyle5c@thetimes.co.uk,+1 (754) 601-6598,Fort Lauderdale,Florida,763 Southridge Crossing,false
194,Sammie Paffett,1975/06/28,M,spaffett5d@wired.com,+1 (602) 706-1699,Mesa,Arizona,7880 Petterle Crossing,false
195,Glen Topliss,1945/05/26,F,gtopliss5e@sitemeter.com,+1 (508) 544-7549,Worcester,Massachusetts,061 Northfield Parkway,false
196,Charley Dallas,1981/04/21,M,cdallas5f@sfgate.com,+1 (240) 355-6602,Frederick,Maryland,617 Welch Place,true
197,Kit Iceton,2001/05/02,M,kiceton5g@nytimes.com,+1 (402) 566-4486,Lincoln,Nebraska,2565 Arrowood Point,false
198,Collin Honniebal,1921/07/31,M,chonniebal5h@vinaora.com,+1 (254) 223-4879,Waco,Texas,46562 Columbus Pass,true
199,Ines Danilyak,1939/06/07,F,idanilyak5i@umn.edu,+1 (202) 887-9312,Washington,District of Columbia,33 Grim Junction,false
200,Sydel Minchin,1982/10/12,F,sminchin5j@furl.net,+1 (602) 463-6768,Phoenix,Arizona,723 Westport Parkway,false
